rubric,model,n,n_total,pct_usable,mae,exact,within1,kappa_quad
AS,Qwen,348,350,99.4,0.908,0.365,0.816,0.236
AS,Llama,346,350,98.9,0.74,0.387,0.882,0.444
AS,Mistral,288,350,82.3,0.802,0.385,0.837,0.394
AT,Qwen,344,350,98.3,0.587,0.485,0.93,0.51
AT,Llama,350,350,100.0,0.577,0.474,0.949,0.57
AT,Mistral,259,350,74.0,0.71,0.436,0.884,0.32
CEc,Qwen,346,350,98.9,0.717,0.373,0.91,0.464
CEc,Llama,349,350,99.7,0.811,0.372,0.834,0.446
CEc,Mistral,300,350,85.7,0.62,0.473,0.917,0.465
CEe,Qwen,349,350,99.7,0.484,0.676,0.854,0.422
CEe,Llama,350,350,100.0,0.22,0.837,0.957,0.565
CEe,Mistral,293,350,83.7,0.311,0.754,0.949,0.503
CL,Qwen,344,350,98.3,0.599,0.564,0.866,0.729
CL,Llama,329,350,94.0,0.912,0.389,0.766,0.519
CL,Mistral,281,350,80.3,0.982,0.381,0.758,0.441
KNa,Qwen,348,350,99.4,0.589,0.655,0.871,0.729
KNa,Llama,327,350,93.4,0.602,0.593,0.884,0.784
KNa,Mistral,291,350,83.1,0.773,0.591,0.801,0.627
KNc,Qwen,327,350,93.4,0.752,0.661,0.792,0.434
KNc,Llama,349,350,99.7,0.295,0.785,0.934,0.858
KNc,Mistral,260,350,74.3,0.462,0.792,0.865,0.455
KNf,Qwen,348,350,99.4,0.371,0.664,0.971,0.914
KNf,Llama,346,350,98.9,0.509,0.676,0.896,0.82
KNf,Mistral,277,350,79.1,0.718,0.549,0.841,0.676
KNn,Qwen,349,350,99.7,0.309,0.788,0.96,0.893
KNn,Llama,339,350,96.9,0.31,0.791,0.959,0.898
KNn,Mistral,291,350,83.1,0.491,0.739,0.883,0.795
KNs,Qwen,349,350,99.7,0.269,0.831,0.926,0.68
KNs,Llama,349,350,99.7,0.206,0.842,0.968,0.776
KNs,Mistral,295,350,84.3,0.244,0.868,0.932,0.628
MCr,Qwen,331,350,94.6,0.782,0.408,0.822,0.381
MCr,Llama,344,350,98.3,0.593,0.523,0.895,0.547
MCr,Mistral,307,350,87.7,0.893,0.336,0.808,0.31
MCt,Qwen,346,350,98.9,0.303,0.699,0.997,0.695
MCt,Llama,333,350,95.1,0.541,0.505,0.964,0.563
MCt,Mistral,288,350,82.3,0.438,0.611,0.962,0.535
MCu,Qwen,343,350,98.0,0.484,0.583,0.936,0.677
MCu,Llama,337,350,96.3,0.691,0.401,0.911,0.635
MCu,Mistral,298,350,85.1,0.517,0.584,0.913,0.521
MS,Qwen,350,350,100.0,0.026,0.989,0.991,-0.002
MS,Llama,348,350,99.4,0.04,0.968,0.991,-0.004
MS,Mistral,281,350,80.3,0.409,0.836,0.89,-0.002
