task,candidate,n,mae,exact,within1,kappa_quad
MenatQA-Scope,Qwen,587,0.526,0.627,0.894,0.648
MenatQA-Scope,Llama,587,0.428,0.647,0.945,0.747
MenatQA-Scope,Mistral,587,0.617,0.578,0.867,0.568
MenatQA-Scope,"mean(Q,L,M)",587,0.433,0.641,0.94,0.74
MenatQA-Scope,"median(Q,L,M)",587,0.402,0.683,0.935,0.747
MenatQA-Scope,"min(Q,L,M)",587,0.428,0.666,0.934,0.681
MenatQA-Scope,"max(Q,L,M)",587,0.741,0.503,0.838,0.56
Physics,Qwen,1100,0.535,0.629,0.887,0.765
Physics,Llama,1100,0.538,0.572,0.917,0.809
Physics,Mistral,1100,0.484,0.623,0.917,0.82
Physics,"mean(Q,L,M)",1100,0.433,0.638,0.936,0.851
Physics,"median(Q,L,M)",1100,0.419,0.654,0.94,0.856
Physics,"min(Q,L,M)",1100,0.515,0.597,0.915,0.801
Physics,"max(Q,L,M)",1100,0.624,0.573,0.867,0.742
chemistry,Qwen,964,0.452,0.639,0.923,0.832
chemistry,Llama,964,0.504,0.627,0.901,0.789
chemistry,Mistral,964,0.69,0.573,0.838,0.631
chemistry,"mean(Q,L,M)",964,0.453,0.617,0.934,0.834
chemistry,"median(Q,L,M)",964,0.392,0.679,0.941,0.853
chemistry,"min(Q,L,M)",964,0.572,0.596,0.886,0.713
chemistry,"max(Q,L,M)",964,0.683,0.562,0.836,0.693
cta,Qwen,147,0.497,0.585,0.939,0.657
cta,Llama,147,0.463,0.585,0.966,0.668
cta,Mistral,147,0.429,0.66,0.939,0.655
cta,"mean(Q,L,M)",147,0.333,0.707,0.959,0.764
cta,"median(Q,L,M)",147,0.347,0.694,0.966,0.759
cta,"min(Q,L,M)",147,0.524,0.585,0.925,0.537
cta,"max(Q,L,M)",147,0.517,0.551,0.952,0.676
engineering,Qwen,968,0.494,0.637,0.906,0.806
engineering,Llama,968,0.552,0.618,0.874,0.786
engineering,Mistral,968,0.666,0.582,0.849,0.672
engineering,"mean(Q,L,M)",968,0.493,0.58,0.936,0.838
engineering,"median(Q,L,M)",968,0.407,0.682,0.934,0.852
engineering,"min(Q,L,M)",968,0.584,0.618,0.868,0.718
engineering,"max(Q,L,M)",968,0.721,0.537,0.827,0.702
zebra_puzzle,Qwen,93,0.505,0.634,0.903,0.809
zebra_puzzle,Llama,93,0.516,0.548,0.935,0.893
zebra_puzzle,Mistral,93,0.516,0.613,0.914,0.804
zebra_puzzle,"mean(Q,L,M)",93,0.387,0.634,0.978,0.908
zebra_puzzle,"median(Q,L,M)",93,0.312,0.731,0.968,0.915
zebra_puzzle,"min(Q,L,M)",93,0.398,0.645,0.957,0.891
zebra_puzzle,"max(Q,L,M)",93,0.828,0.419,0.828,0.742
