rubric,candidate,n,mae,exact,kappa_quad
AS,Qwen (solo),283,0.986,0.346,0.211
AS,Llama (solo),283,0.774,0.364,0.429
AS,Mistral (solo),283,0.806,0.382,0.399
AS,"mean(Q,L)",283,0.735,0.442,0.352
AS,"min(Q,L)",283,0.749,0.382,0.416
AS,"mean(Q,L,M)",283,0.717,0.438,0.396
AS,"median(Q,L,M)",283,0.686,0.431,0.47
AS,"min(Q,L,M)",283,0.795,0.346,0.417
AS,"max(Q,L,M)",283,1.085,0.314,0.191
AT,Qwen (solo),255,0.588,0.478,0.539
AT,Llama (solo),255,0.584,0.459,0.588
AT,Mistral (solo),255,0.718,0.431,0.319
AT,"mean(Q,L)",255,0.584,0.463,0.542
AT,"min(Q,L)",255,0.69,0.388,0.486
AT,"mean(Q,L,M)",255,0.51,0.502,0.592
AT,"median(Q,L,M)",255,0.506,0.514,0.598
AT,"min(Q,L,M)",255,0.792,0.353,0.395
AT,"max(Q,L,M)",255,0.592,0.502,0.485
CEc,Qwen (solo),295,0.753,0.349,0.416
CEc,Llama (solo),295,0.871,0.339,0.406
CEc,Mistral (solo),295,0.61,0.481,0.463
CEc,"mean(Q,L)",295,0.827,0.339,0.41
CEc,"min(Q,L)",295,0.627,0.427,0.522
CEc,"mean(Q,L,M)",295,0.627,0.451,0.495
CEc,"median(Q,L,M)",295,0.675,0.414,0.486
CEc,"min(Q,L,M)",295,0.505,0.519,0.577
CEc,"max(Q,L,M)",295,1.054,0.237,0.303
CEe,Qwen (solo),292,0.534,0.651,0.415
CEe,Llama (solo),292,0.25,0.812,0.564
CEe,Mistral (solo),292,0.308,0.757,0.505
CEe,"mean(Q,L)",292,0.349,0.702,0.535
CEe,"min(Q,L)",292,0.223,0.825,0.602
CEe,"mean(Q,L,M)",292,0.301,0.719,0.619
CEe,"median(Q,L,M)",292,0.195,0.839,0.7
CEe,"min(Q,L,M)",292,0.257,0.788,0.491
CEe,"max(Q,L,M)",292,0.64,0.592,0.37
CL,Qwen (solo),259,0.602,0.568,0.72
CL,Llama (solo),259,1.012,0.347,0.48
CL,Mistral (solo),259,1.0,0.375,0.412
CL,"mean(Q,L)",259,0.784,0.375,0.662
CL,"min(Q,L)",259,0.931,0.394,0.517
CL,"mean(Q,L,M)",259,0.714,0.413,0.664
CL,"median(Q,L,M)",259,0.668,0.514,0.672
CL,"min(Q,L,M)",259,1.077,0.347,0.419
CL,"max(Q,L,M)",259,0.869,0.429,0.533
KNa,Qwen (solo),277,0.534,0.675,0.748
KNa,Llama (solo),277,0.574,0.621,0.771
KNa,Mistral (solo),277,0.787,0.588,0.628
KNa,"mean(Q,L)",277,0.516,0.661,0.796
KNa,"min(Q,L)",277,0.473,0.711,0.796
KNa,"mean(Q,L,M)",277,0.57,0.574,0.793
KNa,"median(Q,L,M)",277,0.509,0.671,0.791
KNa,"min(Q,L,M)",277,0.599,0.69,0.725
KNa,"max(Q,L,M)",277,0.787,0.523,0.618
KNc,Qwen (solo),238,0.567,0.765,0.399
KNc,Llama (solo),238,0.206,0.857,0.805
KNc,Mistral (solo),238,0.479,0.782,0.464
KNc,"mean(Q,L)",238,0.403,0.782,0.603
KNc,"min(Q,L)",238,0.235,0.853,0.716
KNc,"mean(Q,L,M)",238,0.382,0.735,0.658
KNc,"median(Q,L,M)",238,0.265,0.857,0.689
KNc,"min(Q,L,M)",238,0.248,0.849,0.635
KNc,"max(Q,L,M)",238,0.739,0.697,0.407
KNf,Qwen (solo),272,0.342,0.684,0.902
KNf,Llama (solo),272,0.548,0.654,0.761
KNf,Mistral (solo),272,0.71,0.555,0.681
KNf,"mean(Q,L)",272,0.353,0.721,0.886
KNf,"min(Q,L)",272,0.588,0.629,0.742
KNf,"mean(Q,L,M)",272,0.43,0.647,0.86
KNf,"median(Q,L,M)",272,0.335,0.735,0.879
KNf,"min(Q,L,M)",272,0.904,0.489,0.596
KNf,"max(Q,L,M)",272,0.36,0.669,0.894
KNn,Qwen (solo),283,0.311,0.777,0.892
KNn,Llama (solo),283,0.318,0.784,0.89
KNn,Mistral (solo),283,0.481,0.742,0.801
KNn,"mean(Q,L)",283,0.276,0.792,0.927
KNn,"min(Q,L)",283,0.304,0.799,0.888
KNn,"mean(Q,L,M)",283,0.3,0.763,0.921
KNn,"median(Q,L,M)",283,0.237,0.823,0.927
KNn,"min(Q,L,M)",283,0.498,0.749,0.776
KNn,"max(Q,L,M)",283,0.375,0.731,0.88
KNs,Qwen (solo),293,0.181,0.891,0.71
KNs,Llama (solo),293,0.164,0.881,0.767
KNs,Mistral (solo),293,0.246,0.867,0.628
KNs,"mean(Q,L)",293,0.177,0.87,0.776
KNs,"min(Q,L)",293,0.133,0.901,0.772
KNs,"mean(Q,L,M)",293,0.181,0.857,0.786
KNs,"median(Q,L,M)",293,0.13,0.908,0.823
KNs,"min(Q,L,M)",293,0.126,0.908,0.77
KNs,"max(Q,L,M)",293,0.334,0.823,0.586
MCr,Qwen (solo),284,0.81,0.391,0.365
MCr,Llama (solo),284,0.613,0.511,0.534
MCr,Mistral (solo),284,0.923,0.32,0.289
MCr,"mean(Q,L)",284,0.694,0.38,0.498
MCr,"min(Q,L)",284,0.504,0.549,0.598
MCr,"mean(Q,L,M)",284,0.658,0.423,0.489
MCr,"median(Q,L,M)",284,0.637,0.468,0.514
MCr,"min(Q,L,M)",284,0.511,0.546,0.558
MCr,"max(Q,L,M)",284,1.197,0.208,0.233
MCt,Qwen (solo),269,0.309,0.695,0.641
MCt,Llama (solo),269,0.513,0.524,0.541
MCt,Mistral (solo),269,0.439,0.613,0.526
MCt,"mean(Q,L)",269,0.442,0.565,0.527
MCt,"min(Q,L)",269,0.457,0.558,0.57
MCt,"mean(Q,L,M)",269,0.323,0.68,0.656
MCt,"median(Q,L,M)",269,0.327,0.68,0.642
MCt,"min(Q,L,M)",269,0.517,0.52,0.519
MCt,"max(Q,L,M)",269,0.416,0.632,0.541
MCu,Qwen (solo),279,0.466,0.602,0.628
MCu,Llama (solo),279,0.717,0.394,0.572
MCu,Mistral (solo),279,0.527,0.577,0.512
MCu,"mean(Q,L)",279,0.613,0.423,0.62
MCu,"min(Q,L)",279,0.649,0.459,0.57
MCu,"mean(Q,L,M)",279,0.419,0.613,0.684
MCu,"median(Q,L,M)",279,0.427,0.616,0.679
MCu,"min(Q,L,M)",279,0.656,0.459,0.556
MCu,"max(Q,L,M)",279,0.627,0.498,0.494
MS,Qwen (solo),280,0.032,0.986,-0.002
MS,Llama (solo),280,0.043,0.968,-0.004
MS,Mistral (solo),280,0.411,0.836,-0.002
MS,"mean(Q,L)",280,0.032,0.975,-0.004
MS,"min(Q,L)",280,0.004,0.996,0.0
MS,"mean(Q,L,M)",280,0.154,0.871,-0.005
MS,"median(Q,L,M)",280,0.032,0.982,-0.003
MS,"min(Q,L,M)",280,0.004,0.996,0.0
MS,"max(Q,L,M)",280,0.45,0.811,-0.002
