rubric,best_candidate,n,mae,exact,within1,kappa_quad
AS,"median(Q,L,M)",283,0.686,43.1,89.4,0.47
AT,"max(Q,L)",255,0.482,54.9,97.3,0.647
CEc,"min(Q,L,M)",295,0.505,51.9,97.6,0.577
CEe,"median(Q,L,M)",292,0.195,83.9,96.9,0.7
CL,qwen (solo),259,0.602,56.8,85.7,0.72
KNa,"min(Q,L)",277,0.473,71.1,88.8,0.796
KNc,llama33 (solo),238,0.206,85.7,95.8,0.805
KNf,"max(Q,L)",272,0.301,71.0,99.3,0.921
KNn,"mean(Q,L)",283,0.276,79.2,94.3,0.927
KNs,"median(Q,L,M)",293,0.13,90.8,96.9,0.823
MCr,"min(Q,L)",284,0.504,54.9,94.7,0.598
MCt,"mean(Q,L,M)",269,0.323,68.0,99.6,0.656
MCu,"mean(Q,L,M)",279,0.419,61.3,96.8,0.684
MS,"min(Q,L)",280,0.004,99.6,100.0,0.0
QLl,"max(Q,L)",282,0.461,58.5,95.4,0.733
QLq,qwen (solo),276,0.264,73.6,100.0,0.917
SNs,"median(Q,L,M)",282,0.27,79.8,94.0,0.816
VO,"median(Q,L,M)",285,0.298,70.2,100.0,0.689
