rubric,candidate,n,mae,exact,within1,kappa_quad
AS,qwen (solo),283,0.986,34.6,77.7,0.211
AS,llama33 (solo),283,0.774,36.4,87.3,0.429
AS,mistral (solo),283,0.806,38.2,83.7,0.399
AS,"mean(Q,L)",283,0.735,44.2,83.0,0.352
AS,"min(Q,L)",283,0.749,38.2,88.0,0.416
AS,"max(Q,L)",283,1.011,32.9,77.0,0.229
AS,"mean(Q,L,M)",283,0.717,43.8,85.5,0.396
AS,"median(Q,L,M)",283,0.686,43.1,89.4,0.47
AS,"min(Q,L,M)",283,0.795,34.6,86.9,0.417
AS,"max(Q,L,M)",283,1.085,31.4,72.4,0.191
AT,qwen (solo),255,0.588,47.8,93.7,0.539
AT,llama33 (solo),255,0.584,45.9,95.7,0.588
AT,mistral (solo),255,0.718,43.1,88.2,0.319
AT,"mean(Q,L)",255,0.584,46.3,95.3,0.542
AT,"min(Q,L)",255,0.69,38.8,92.2,0.486
AT,"max(Q,L)",255,0.482,54.9,97.3,0.647
AT,"mean(Q,L,M)",255,0.51,50.2,98.8,0.592
AT,"median(Q,L,M)",255,0.506,51.4,98.0,0.598
AT,"min(Q,L,M)",255,0.792,35.3,86.7,0.395
AT,"max(Q,L,M)",255,0.592,50.2,92.9,0.485
CEc,qwen (solo),295,0.753,34.9,89.8,0.416
CEc,llama33 (solo),295,0.871,33.9,81.0,0.406
CEc,mistral (solo),295,0.61,48.1,91.9,0.463
CEc,"mean(Q,L)",295,0.827,33.9,83.7,0.41
CEc,"min(Q,L)",295,0.627,42.7,94.6,0.522
CEc,"max(Q,L)",295,0.997,26.1,76.3,0.337
CEc,"mean(Q,L,M)",295,0.627,45.1,92.2,0.495
CEc,"median(Q,L,M)",295,0.675,41.4,91.2,0.486
CEc,"min(Q,L,M)",295,0.505,51.9,97.6,0.577
CEc,"max(Q,L,M)",295,1.054,23.7,73.9,0.303
CEe,qwen (solo),292,0.534,65.1,82.9,0.415
CEe,llama33 (solo),292,0.25,81.2,95.2,0.564
CEe,mistral (solo),292,0.308,75.7,94.9,0.505
CEe,"mean(Q,L)",292,0.349,70.2,96.2,0.535
CEe,"min(Q,L)",292,0.223,82.5,95.5,0.602
