rubric,candidate,n,mae,exact,kappa_quad
AS,"median(Q,L,M)",283,0.686,0.431,0.47
AT,"median(Q,L,M)",255,0.506,0.514,0.598
CEc,"min(Q,L,M)",295,0.505,0.519,0.577
CEe,"median(Q,L,M)",292,0.195,0.839,0.7
CL,Qwen (solo),259,0.602,0.568,0.72
KNa,"mean(Q,L)",277,0.516,0.661,0.796
KNc,Llama (solo),238,0.206,0.857,0.805
KNf,Qwen (solo),272,0.342,0.684,0.902
KNn,"mean(Q,L)",283,0.276,0.792,0.927
KNs,"median(Q,L,M)",293,0.13,0.908,0.823
MCr,"min(Q,L)",284,0.504,0.549,0.598
MCt,"mean(Q,L,M)",269,0.323,0.68,0.656
MCu,"mean(Q,L,M)",279,0.419,0.613,0.684
MS,"min(Q,L)",280,0.004,0.996,0.0
