rubric,model,n,pearson,spearman,mae,exact,within1,kappa_lin,kappa_quad
AS,Qwen,1357,0.367,0.374,0.676,0.509,0.886,0.224,0.297
AS,Llama,1492,0.396,0.406,0.757,0.457,0.864,0.273,0.364
AT,Qwen,1518,0.665,0.62,0.478,0.547,0.976,0.489,0.664
AT,Llama,1517,0.701,0.657,0.796,0.302,0.904,0.308,0.539
CEc,Qwen,1461,0.569,0.572,0.547,0.491,0.965,0.342,0.493
CEc,Llama,1462,0.58,0.579,0.759,0.347,0.899,0.23,0.388
CEe,Qwen,1512,0.073,0.068,1.159,0.303,0.725,0.025,0.041
CEe,Llama,1510,0.062,0.056,1.862,0.211,0.395,-0.001,0.015
CL,Qwen,1304,0.691,0.691,0.541,0.574,0.912,0.459,0.634
CL,Llama,1306,0.658,0.625,0.75,0.442,0.844,0.427,0.623
KNa,Qwen,1507,,,,,,,
KNa,Llama,1516,,,,,,,
KNc,Qwen,1410,-0.007,-0.008,0.23,0.923,0.928,-0.001,-0.002
KNc,Llama,1520,,,,,,,
KNf,Qwen,1502,0.483,0.477,0.282,0.718,1.0,0.367,0.454
KNf,Llama,1513,0.5,0.47,0.353,0.652,0.995,0.359,0.485
KNn,Qwen,1513,,,,,,,
KNn,Llama,1520,,,,,,,
KNs,Qwen,1520,,,,,,,
KNs,Llama,1520,,,,,,,
MCr,Qwen,887,0.484,0.562,0.618,0.554,0.873,0.365,0.46
MCr,Llama,953,0.472,0.465,0.922,0.349,0.807,0.279,0.431
MCt,Qwen,1495,0.49,0.478,0.464,0.555,0.981,0.301,0.378
MCt,Llama,1509,0.464,0.424,0.682,0.415,0.904,0.223,0.321
MCu,Qwen,1468,0.62,0.674,0.257,0.773,0.971,0.542,0.599
MCu,Llama,1472,0.61,0.505,0.628,0.425,0.954,0.242,0.473
MS,Qwen,1520,,,,,,,
MS,Llama,1520,,,,,,,
QLl,Qwen,1166,0.545,0.565,0.388,0.633,0.984,0.417,0.503
QLl,Llama,1198,0.382,0.382,0.907,0.296,0.829,0.192,0.29
QLq,Qwen,1463,0.587,0.577,0.429,0.578,0.994,0.34,0.483
QLq,Llama,1485,0.549,0.491,0.78,0.287,0.933,0.142,0.305
SNs,Qwen,1509,0.312,0.357,0.678,0.705,0.796,0.256,0.286
SNs,Llama,1498,0.291,0.358,0.628,0.719,0.805,0.228,0.277
VO,Qwen,1494,0.546,0.522,0.316,0.687,0.997,0.448,0.544
VO,Llama,1501,0.506,0.457,0.73,0.357,0.915,0.238,0.374
