rubric,candidate,n,mae,exact,kappa_quad
AS,Qwen (solo),1342,0.681,0.506,0.294
AS,Llama (solo),1342,0.748,0.463,0.363
AS,Mistral (solo),1342,0.726,0.485,0.342
AS,"mean(Q,L)",1342,0.681,0.507,0.345
AS,"min(Q,L)",1342,0.646,0.51,0.417
AS,"mean(Q,L,M)",1342,0.596,0.56,0.407
AS,"median(Q,L,M)",1342,0.606,0.563,0.374
AS,"min(Q,L,M)",1342,0.707,0.472,0.431
AS,"max(Q,L,M)",1342,0.842,0.42,0.208
AT,Qwen (solo),1506,0.476,0.548,0.663
AT,Llama (solo),1506,0.798,0.3,0.538
AT,Mistral (solo),1506,0.66,0.407,0.523
AT,"mean(Q,L)",1506,0.444,0.593,0.64
AT,"min(Q,L)",1506,0.475,0.554,0.67
AT,"mean(Q,L,M)",1506,0.524,0.509,0.639
AT,"median(Q,L,M)",1506,0.571,0.467,0.622
AT,"min(Q,L,M)",1506,0.467,0.562,0.665
AT,"max(Q,L,M)",1506,0.896,0.226,0.455
CEc,Qwen (solo),1429,0.554,0.485,0.481
CEc,Llama (solo),1429,0.769,0.339,0.382
CEc,Mistral (solo),1429,0.621,0.436,0.589
CEc,"mean(Q,L)",1429,0.59,0.453,0.391
CEc,"min(Q,L)",1429,0.496,0.53,0.537
CEc,"mean(Q,L,M)",1429,0.498,0.525,0.593
CEc,"median(Q,L,M)",1429,0.57,0.462,0.517
CEc,"min(Q,L,M)",1429,0.528,0.523,0.612
CEc,"max(Q,L,M)",1429,0.846,0.275,0.345
CEe,Qwen (solo),1463,1.166,0.299,0.038
CEe,Llama (solo),1463,1.863,0.21,0.013
CEe,Mistral (solo),1463,0.593,0.565,0.101
CEe,"mean(Q,L)",1463,1.334,0.124,0.045
CEe,"min(Q,L)",1463,0.87,0.362,0.075
CEe,"mean(Q,L,M)",1463,1.003,0.297,0.055
CEe,"median(Q,L,M)",1463,0.831,0.476,0.086
CEe,"min(Q,L,M)",1463,0.597,0.46,0.083
CEe,"max(Q,L,M)",1463,2.193,0.137,0.009
CL,Qwen (solo),1176,0.57,0.554,0.628
CL,Llama (solo),1176,0.778,0.424,0.621
CL,Mistral (solo),1176,0.645,0.569,0.608
CL,"mean(Q,L)",1176,0.553,0.547,0.686
CL,"min(Q,L)",1176,0.606,0.556,0.677
CL,"mean(Q,L,M)",1176,0.504,0.562,0.726
CL,"median(Q,L,M)",1176,0.526,0.573,0.701
CL,"min(Q,L,M)",1176,0.705,0.56,0.626
CL,"max(Q,L,M)",1176,0.762,0.414,0.524
KNa,Qwen (solo),1502,2.898,0.213,0.0
KNa,Llama (solo),1502,2.275,0.436,0.0
KNa,Mistral (solo),1502,1.286,0.642,0.0
KNa,"mean(Q,L)",1502,2.662,0.139,0.0
KNa,"min(Q,L)",1502,1.8,0.511,0.0
KNa,"mean(Q,L,M)",1502,2.141,0.101,0.0
KNa,"median(Q,L,M)",1502,2.192,0.405,0.0
KNa,"min(Q,L,M)",1502,0.767,0.786,0.0
KNa,"max(Q,L,M)",1502,3.5,0.101,0.0
KNc,Qwen (solo),1409,0.23,0.923,-0.002
KNc,Llama (solo),1409,0.004,0.999,0.0
KNc,Mistral (solo),1409,0.004,0.999,-0.001
KNc,"mean(Q,L)",1409,0.141,0.928,-0.002
