rubric,n_models,"rWG_models(Q,L,M)",rWG_models_trunc,n_consensus_vs_dist,rWG_consensus_vs_distilled,rWG_consensus_vs_distilled_trunc
AS,287,0.866,0.867,287,0.937,0.937
AT,268,0.9,0.901,268,0.955,0.955
CEc,287,0.891,0.891,287,0.961,0.961
CEe,286,0.854,0.854,286,0.941,0.941
CL,273,0.836,0.838,273,0.955,0.955
KNa,283,0.643,0.673,283,0.558,0.649
KNc,274,0.629,0.667,274,0.907,0.915
KNf,289,0.929,0.93,289,0.961,0.961
KNn,292,0.849,0.873,292,0.956,0.965
KNs,295,0.975,0.976,295,0.993,0.993
MCr,278,0.876,0.877,278,0.934,0.934
MCt,283,0.94,0.94,283,0.978,0.978
MCu,286,0.906,0.906,286,0.956,0.956
MS,279,0.912,0.919,279,0.986,0.986
QLl,283,0.895,0.895,283,0.955,0.955
QLq,283,0.903,0.903,283,0.958,0.958
SNs,285,0.94,0.94,285,0.955,0.958
VO,294,0.925,0.925,294,0.966,0.966
