rubric,n,Qwen2.5-72B (solo),Llama-3.3-70B (solo),Mistral-Large-123B (solo),Distilled-7B (solo),"median(Q,L,M)","median(Q,L,M,D)",median(Distilled + best large)
AS,287,0.869,0.905,0.918,0.934,0.932,0.944,0.941
AT,268,0.942,0.934,0.903,0.945,0.951,0.959,0.955
CEc,287,0.935,0.916,0.935,0.966,0.947,0.962,0.956
CEe,286,0.812,0.841,0.893,0.915,0.874,0.9,0.894
CL,273,0.915,0.884,0.883,0.928,0.922,0.936,0.926
KNa,283,0.563,0.655,0.691,0.682,0.667,0.739,0.776
KNc,274,0.658,0.846,0.831,0.86,0.841,0.871,0.869
KNf,289,0.962,0.951,0.951,0.966,0.972,0.978,0.972
KNn,292,0.861,0.967,0.964,0.954,0.967,0.976,0.971
KNs,295,0.99,0.983,0.984,0.981,0.988,0.987,0.986
MCr,278,0.907,0.872,0.895,0.942,0.912,0.932,0.931
MCt,283,0.96,0.953,0.961,0.974,0.968,0.975,0.972
MCu,286,0.931,0.928,0.932,0.942,0.945,0.955,0.95
MS,279,0.939,0.96,0.974,0.994,0.982,0.992,0.985
QLl,283,0.947,0.933,0.941,0.958,0.962,0.971,0.965
QLq,283,0.939,0.928,0.94,0.956,0.949,0.962,0.959
SNs,285,0.956,0.949,0.958,0.956,0.965,0.972,0.971
VO,294,0.966,0.939,0.964,0.958,0.97,0.973,0.961
